geneNames	GSM1339618	GSM1339619	GSM1339620	GSM1339621	GSM1339622	GSM1339623	GSM1339624	GSM1339625	GSM1339626	GSM1339627	GSM1339628	GSM1339629	GSM1339630	GSM1339631	GSM1339632	GSM1339633
XYLB	5.73333333333333	10.7	12.1666666666667	12.1	7.46666666666667	10.2	7.6	16.8666666666667	4.13333333333333	28.2333333333333	5.2	11.3666666666667	9.7	3.86666666666667	4.9	9.86666666666667
XYLT1	1218.6	2573.3	694.3	1070.9	435.3	500.9	551.6	564.7	847	575.6	939.6	679.8	1271.6	698.2	418	526.1
XYLT2	228.4	151.4	60.2	76	219.1	243.3	174.3	188.1	42.1	193.1	163.1	199.7	205.1	291	120.7	49.7
Y16709	1896.8	1448	1937.2	3778.3	2024.7	3232.1	1455	2248.9	2631.6	2698.1	2934	2991.9	3201.4	3899.1	2454.4	2711.2
YAF2	257.5	288.5	263.3	242.5	306.4	275.2	231.6	294.6	386.1	293.6	249	257.9	244	214.7	282	348.9
YAP1	234.5	461	319.2	412.1	440.7	564.2	159.6	301.1	351.3	431.9	497	760	665.4	737.2	523	432.5
YARS	1287.4	807	727.6	691.6	932	702	990.6	753.9	1112.8	1151	766	622.8	629.8	1211.6	638.1	872.3
YARS2	118.1	133.7	161.4	208.6	210.4	165.7	112.3	252.4	248.2	192.8	180.5	91.8	133.9	220.3	94.2	103.6
YBX1	3408.56666666667	3755.66666666667	4199.13333333333	4081.4	4310.6	4625.06666666667	4737.33333333333	5255.16666666667	4823.23333333333	4486.53333333333	3551.56666666667	3862.33333333333	3860.03333333333	4072.16666666667	4216.53333333333	4625.86666666667
YBX2	111.2	156.9	130.1	77.4	160.5	123.5	100.3	240.3	75.9	46.7	112.9	83.2	119.5	69.2	118.8	77.9
YBX3	2065.86666666667	1789.9	1850.33333333333	1531.86666666667	2011.03333333333	2042.93333333333	1831.96666666667	1852.4	1768.23333333333	2151.6	1442.2	1770.7	1790.46666666667	1666.13333333333	2012.6	1946.4
YEATS2	297.9	274.7	379.1	291.2	348.5	358.4	274	428.8	338.3	315	408.8	208.1	326.6	225.8	328.6	302.3
YEATS4	71.4	71.1	98.9	114.3	71.8	74.7	145.2	20	31.8	65.3	65.4	68.5	147.7	59	86.2	99.1
YES1	427.433333333333	501.166666666667	541.5	451.533333333333	417.433333333333	441.766666666667	350.833333333333	419.033333333333	347.966666666667	559.766666666667	315.2	410.466666666667	392.233333333333	482.533333333333	455.966666666667	459.133333333333
YIF1A	1173.6	914.1	999.5	925.1	1144.4	924.7	1242.8	898.7	1381.4	1716.2	1356.6	1044.6	976.1	1444.7	1078.4	1031.5
YIF1B	186.5	141.4	175.3	204.7	261.3	219.5	259.3	227.5	157	104.9	178.2	183.8	155	110.9	191.7	160.7
YIPF1	677.1	404.5	394	495.5	634.1	534.2	533.2	419.2	916.5	948.5	633.2	442.7	589.6	519.1	359.5	741.2
YIPF2	347.466666666667	269.533333333333	266.233333333333	366.5	423.8	286.766666666667	271.9	268.5	264.166666666667	289.533333333333	476.866666666667	309.233333333333	396.4	379.533333333333	257.233333333333	213.366666666667
YIPF3	708.2	723.1	737.4	705.1	655.7	527.1	698.8	429.7	523.7	704	667.9	839	732.9	635.6	596.9	596.3
YIPF4	95.85	80.45	85.1	95.3	67	47.9	71.1	69.35	62.6	111.55	63.8	86.1	69.9	91.9	95.45	103.7
YIPF5	341	606.3	462.1	573.7	596.4	487.4	698.7	700.1	883.9	947.9	660.7	782.6	695.7	1015.3	823.5	847.8
YIPF6	441.65	432.55	296.85	425.975	349.5	395.475	319.05	339.075	472.05	341.225	449.625	469.525	486.15	461.725	457.625	568.325
YKT6	331.95	213.9	279.4	378.65	451	351.8	314.65	318.45	487.3	464.35	399.7	261.1	224.75	605.65	207.55	231.45
YLPM1	540.866666666667	557.8	530.7	474.666666666667	395.366666666667	385	388.633333333333	463.966666666667	387	404.366666666667	471.933333333333	471.066666666667	493.233333333333	459.3	465.2	497.166666666667
YME1L1	1040.52857142857	1057.34285714286	1094.58571428571	977.114285714286	958.471428571429	835.271428571428	942.8	835.057142857143	1186.5	1075.1	930.728571428571	947.657142857143	871.814285714286	856.185714285714	888.214285714286	995.014285714286
YOD1	72.3	77	92.2	121.5	81.9	71.9	94.5	166.1	42.7	89	58.6	111.6	108.9	59.3	108.6	100.2
YPEL1	34.7	65.5	114.6	69.5	137.7	127.1	174.8	95.3	175.3	101.7	111.3	89.5	104.4	147.9	116.8	58.8
YPEL5	2422.5	2785	2682.9	2443	2888.8	2687.4	2940.4	2220.6	2493.6	2854	2826.1	2636.5	2646.6	2962.2	2781.1	2822.7
