geneNames	GSM5176138	GSM5176139	GSM5176140	GSM5176141	GSM5176142	GSM5176143	GSM5176144	GSM5176145	GSM5176146	GSM5176147	GSM5176148
LDHC	231.237	608.569	166.01	98.1317	155.241	285.934	188.849	575.339	240.492	182.701	86.1382
LDLR	132.01768	1072.2272	263.38842	123.579452	286.28378	360.064	252.75594	576.48418	230.8385	228.15772	136.673204
LDLRAD4	167.6657	990.547	304.944333333333	143.566633333333	249.162666666667	451.966666666667	405.615666666667	1161.36233333333	376.548666666667	534.337	224.190333333333
LDLRAP1	370.6665	1568.925	438.2815	426.0885	424.392	331.367	456.734	1346.4475	342.618	448.9355	192.91
LDOC1	813.946	3333.84	1029.43	867.87	1088.64	1012.76	1336.28	2091.68	1081.32	1164.45	591.403
LECT1	381.67	1303.91	783.399	615.692	812.52	1493.79	1767.58	4307.38	1593.47	2759.64	1608.42
LECT2	77.4927	97.9205	8.2442	11.109	5.52071	65.493	21.7228	39.2164	10.6212	11.4905	9.95068
LEF1	63.1533333333333	118.421433333333	34.8358133333333	48.1355333333333	35.1080666666667	100.6157	74.9719333333333	99.3806	67.2971	76.5515666666667	13.4478666666667
LEFTY1	94.3108	434.088	79.1507	170.85	118.645	340.533	226.982	470.987	54.0081	52.6578	90.4499
LEMD3	339.786	1071.03	494.6	222.698	396.863	553.018	325.673	1667.38	572.05	355.02	362.893
LENEP	81.6634	306.787	22.4445	89.4443	87.1659	140.69	81.8117	226.797	63.85	120.652	120.702
LEP	26.7343	57.5588	14.2598	29.3331	26.7631	23.3253	12.0208	28.6769	8.67706	17.4053	9.65012
LEPRE1	545.427	1760.52	547.915	512.817	488.876	873.507	1212.71	2362.75	834.712	866.133	461.268
LEPREL1	436.838	1379.34	533.428	462.311	493.504	2755.46	689.667	2400.92	819.099	860.265	529.491
LEPREL2	112.31	585.99	386.991	321.219	479.631	469.957	638.611	1567.34	379.576	452.429	359.735
LEPREL4	132.813	254.381	165.267	155.441	246.678	453.641	446.555	649.123	407.326	543.871	290.645
LEPROT	2095.465	5974.425	2080.21	1901.925	1790.205	3030.355	3044.15	6517.19	2539.955	3607.695	1772.33
LEPROTL1	215.152	1005.3365	313.1275	231.4785	258.025	468.1125	378.8505	942.835	392.8615	571.857	289.0035
LETM1	99.08775	546.7405	162.4155	77.39985	127.75275	147.8153	271.162	458.0075	204.437	205.0345	74.7083
LETMD1	1724.81	4466.89	1050.77	1064.34	980.844	817.706	751.393	2282.3	626.54	672.87	445.441
LFNG	17.0422	268.963	25.6212	81.3495	75.2715	71.366	115.124	29.1892	54.664	36.0279	20.3847
LGALS1	2035.31	9121.74	3714.84	3711.12	3404.54	7702.84	6072.44	13429.6	9380.34	7892.3	4718.34
LGALS13	91.8435	95.2121	37.5085	67.9825	21.5912	165.653	54.3336	285.697	200.389	33.3154	60.4908
LGALS14	149.492	445.977	53.9453	101.831	47.4276	272.248	323.181	533.119	216.832	127.064	58.1038
LGALS2	15.6528	47.0728	61.6109	26.105	9.533	63.8257	70.3737	106.855	12.1709	25.2311	12.9509
LGALS3	10505.7	25590.2	12855.2	8921.74	10143.5	10033.2	10081	16583.6	10392.3	10743.8	6529.43
LGALS3BP	276.057	824.647	278.021	238.034	162.798	410.165	436.717	734.548	282.753	331.597	47.2424
LGALS4	96.002	362.078	96.2487	78.7305	170.655	87.5751	143.836	425.016	61.8424	160.905	65.8435
LGALS8	204.248633333333	662.845166666667	212.523783333333	173.699983333333	217.635733333333	269.0035	209.015	523.819133333333	218.5145	267.346016666667	134.611583333333
LGALS9	18.9876	108.261	8.04558	27.1965	10.7631	35.2023	65.8903	255.443	11.6291	14.1271	11.8921
LGALSL	64.8928	750.8	49.6015	86.0191	89.4117	71.9742	178.931	491.702	239.973	159.029	169.182
LGI1	6.07259	23.5145	2.74377	7.56241	6.4479	16.6323	18.1738	34.5798	8.107	8.71894	4.97762
LGI2	19.4692	45.1085	16.6385	12.4602	16.6741	41.9615	40.5905	68.648	16.8407	22.9744	25.7162
LGMN	544.115	1425.85	851.765	440.784	749.233	927.198	691.927	1851.11	761.007	1120.15	660.815
LGR4	155.214	383.795	168.065	145.218	177.968	277.61	272.996	708.549	284.424	399.522	233.764
LGR5	75.43545	66.8414	7.29155	10.824965	15.8493	36.90495	61.8483	92.2969	18.3159	20.610895	16.076805
LGSN	5.9005	10.2947	48.4842	5.77933	3.52645	14.4471	31.6299	39.2212	6.12166	14.7979	2.23468
LHCGR	52.8208	46.4747	3.50521	25.6009	14.0243	48.4527	12.224	135.015	42.4859	13.0811	13.2709
LHFP	380.329	3555.28	859.088	492.694	771.908	1322.13	1183.22	3860.6	1512.83	1844.5	1115.58
LHFPL2	515.848	2170.29	657.569	586.09	580.133	1813.63	1700.23	2847.9	903.366	1238.48	624.647
LHPP	47.0352	539.761	203.439	173.96	277.243	185.754	366.378	1042.86	215.869	276.425	106.519
LHX1	17.8588	64.4019	38.4924	30.0941	42.3259	33.8791	35.8678	35.3316	12.6784	104.805	7.89021
LHX2	60.92555	62.8482	26.97875	16.8094	14.80651	156.90015	137.1011	232.4496	15.65685	22.8981	30.790005
