"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"STAG2",2.41803551773264e-05,0.2583563211659,0.439,0.39,0.5178706668328,"8","STAG2"
"DEDD2",3.78233803137179e-05,0.288148334652269,0.261,0.201,0.810063336178897,"8","DEDD2"
"HIVEP1",3.87457489429429e-05,0.272277414800791,0.259,0.195,0.829817705111008,"8","HIVEP1"
"CPEB41",4.47067032213787e-05,0.278467403738294,0.399,0.35,0.957483462892268,"8","CPEB4"
"INTS61",4.53417263012788e-05,0.284258627304954,0.28,0.216,0.971083752194488,"8","INTS6"
"THBD2",4.76737606056729e-05,0.333378220860947,0.394,0.317,1,"8","THBD"
"H2AFX1",4.92449370455773e-05,0.36775909073403,0.321,0.261,1,"8","H2AFX"
"KMT2C",5.89033782111346e-05,0.284690176377668,0.369,0.315,1,"8","KMT2C"
"IVNS1ABP",6.01337711642966e-05,0.31618935560956,0.48,0.447,1,"8","IVNS1ABP"
"RYBP",6.7212856670756e-05,0.314873659914641,0.456,0.41,1,"8","RYBP"
"GCLM",6.78710593611308e-05,0.327939526386767,0.251,0.194,1,"8","GCLM"
"SMS1",7.5898065286561e-05,0.370807515797837,0.423,0.388,1,"8","SMS"
"YPEL5",7.89259129064537e-05,0.447498303360396,0.593,0.618,1,"8","YPEL5"
"DNAJB12",9.73444719379592e-05,0.626782400781839,0.617,0.845,1,"8","DNAJB1"
"TUBB4B1",0.000104256082772947,0.292878427887689,0.892,0.907,1,"8","TUBB4B"
"PCBP11",0.000105673089713176,0.270970621246177,0.652,0.671,1,"8","PCBP1"
"HNRNPH1",0.000128246707546372,0.250907631641481,0.693,0.677,1,"8","HNRNPH1"
"WDR1",0.00019369917641726,0.269025694841338,0.539,0.538,1,"8","WDR1"
"SERTAD21",0.000232531546971302,0.378831084624932,0.439,0.413,1,"8","SERTAD2"
"ATF31",0.000232967025309677,0.695343496537301,0.69,0.703,1,"8","ATF3"
"PDCL3",0.000262165537328652,0.269016156387448,0.302,0.256,1,"8","PDCL3"
"KLF41",0.000344490933383256,1.06060542682281,0.644,0.725,1,"8","KLF4"
"SQRDL1",0.000560965696923019,0.288731014455099,0.342,0.298,1,"8","SQRDL"
"SNHG121",0.000614361432670095,0.471013738845938,0.307,0.27,1,"8","SNHG12"
"FOXO3",0.000703190814943426,0.26576158395623,0.407,0.378,1,"8","FOXO3"
"ERO1LB",0.000718465483309944,0.279246858754725,0.302,0.255,1,"8","ERO1LB"
